kabupaten_kota,tahun,kuartal,total investasi_rp_juta,total investasi_us_ribu,total_tki,investasi_per_kapita
Kabupaten Bangkalan,2022,1,15247.5,1062.7,46,331.4673913043478
Kabupaten Banyuwangi,2022,1,320260.7,22313.4,109,2938.171559633028
Kabupaten Blitar,2022,1,55859.6,3892.5,837,66.7378733572282
Kabupaten Bojonegoro,2022,1,38780.3,2702.4,191,203.038219895288
Kabupaten Bondowoso,2022,1,78042.0,5438.400000000001,2,39021.0
Kabupaten Gresik,2022,1,5132705.2,357679.5,5629,911.8325102149582
Kabupaten Jember,2022,1,155673.4,10848.1,459,339.15773420479303
Kabupaten Jombang,2022,1,255231.5,17786.0,573,445.4301919720768
Kabupaten Kediri,2022,1,1101277.8,76744.2,505,2180.7481188118813
Kabupaten Lamongan,2022,1,352625.7,24573.5,83,4248.502409638554
Kabupaten Lumajang,2022,1,1919.4,133.79999999999998,93,20.63870967741936
Kabupaten Madiun,2022,1,104899.8,7309.599999999999,168,624.4035714285715
Kabupaten Magetan,2022,1,84858.5,5913.3,43,1973.453488372093
Kabupaten Malang,2022,1,602261.3,41969.2,874,689.0861556064074
Kabupaten Mojokerto,2022,1,972239.8,67751.9,2244,433.2619429590018
Kabupaten Nganjuk,2022,1,64329.0,4482.8,209,307.79425837320576
Kabupaten Ngawi,2022,1,219527.5,15298.0,332,661.2274096385543
Kabupaten Pacitan,2022,1,11070.1,771.4,122,90.73852459016392
Kabupaten Pamekasan,2022,1,3922.4,273.1,334,11.7437125748503
Kabupaten Pasuruan,2022,1,1777171.4,123844.4,2496,712.0077724358974
Kabupaten Ponorogo,2022,1,96716.2,6739.9,174,555.8402298850575
Kabupaten Probolinggo,2022,1,427332.9,29779.4,231,1849.925974025974
Kabupaten Sampang,2022,1,6305.9,439.3,47,134.16808510638296
Kabupaten Sidoarjo,2022,1,3803744.6,265069.4,10950,347.3739360730594
Kabupaten Situbondo,2022,1,60296.0,4201.9,292,206.4931506849315
Kabupaten Sumenep,2022,1,1995.4,139.1,134,14.891044776119404
Kabupaten Trenggalek,2022,1,2156.3,150.10000000000002,49,44.0061224489796
Kabupaten Tuban,2022,1,428270.1,29843.7,645,663.9846511627907
Kabupaten Tulungagung,2022,1,9808.6,683.7,231,42.46147186147186
Kota Batu,2022,1,6241.4,434.8,91,68.58681318681319
Kota Blitar,2022,1,2235.5,156.5,35,63.871428571428574
Kota Kediri,2022,1,39865.5,2778.2,512,77.8623046875
Kota Madiun,2022,1,29452.5,2052.4,92,320.1358695652174
Kota Malang,2022,1,129007.8,8990.2,345,373.935652173913
Kota Mojokerto,2022,1,66213.8,4614.2,84,788.2595238095239
Kota Pasuruan,2022,1,1750.6,122.0,14,125.04285714285712
Kota Probolinggo,2022,1,5649.9,393.6,8,706.2375
Kota Surabaya,2022,1,7172806.7,499846.9,7210,994.8414285714288
Kabupaten Bangkalan,2022,2,45374.6,3161.7999999999997,46,0.0
Kabupaten Bangkalan,2022,3,32072.199999999997,2234.7999999999997,21,0.0
Kabupaten Bangkalan,2022,4,14351.5,1000.1999999999999,13,0.0
Kabupaten Bangkalan,2023,1,69698.6,4709.400000000001,29,0.0
Kabupaten Bangkalan,2023,2,53334.2,3603.7,11,0.0
Kabupaten Bangkalan,2023,3,60372.9,4079.1,13,0.0
Kabupaten Bangkalan,2023,4,28883.7,1952.1,8,0.0
Kabupaten Bangkalan,2024,1,17476.4,1164.9,37,0.0
Kabupaten Bangkalan,2024,2,278191.3,18545.7,27,0.0
Kabupaten Bangkalan,2024,3,70313.9,4687.9,45,0.0
Kabupaten Bangkalan,2024,4,27982.7,1865.7,67,0.0
Kabupaten Banyuwangi,2022,2,668293.4,46570.8,519,0.0
Kabupaten Banyuwangi,2022,3,475349.2,33125.0,105,0.0
Kabupaten Banyuwangi,2022,4,746979.1,52054.2,208,0.0
Kabupaten Banyuwangi,2023,1,328488.2,22195.1,339,0.0
Kabupaten Banyuwangi,2023,2,288431.10000000003,19488.9,1408,0.0
Kabupaten Banyuwangi,2023,3,1364488.7999999998,92194.9,470,0.0
