Kabupaten/Kota;Tahun;Triwulan 1;Triwulan 2;Triwulan 3;Triwulan 4
Kota Surabaya;2022;108.88;110.98;113.61;114.69
Kota Surabaya;2023;115.74;116.43;117.18;118.17
Kota Surabaya;2024;106.48;106.41;106.32;107.11
Kota Malang;2022;107.26;110.03;112.02;112.68
Kota Malang;2023;113.42;114.05;114.56;115.57
Kota Malang;2024;106.50;106.11;105.99;106.94
Kota Kediri;2022;108.23;110.41;112.52;113.27
Kota Kediri;2023;114.03;114.74;115.39;116.26
Kota Kediri;2024;106.17;105.67;105.37;106.27
Kabupaten Jember;2022;109.41;112.35;114.11;115.65
Kabupaten Jember;2023;116.50;117.19;117.59;118.30
Kabupaten Jember;2024;106.37;106.35;106.19;107.09
Kabupaten Sumenep;2022;109.42;112.17;113.13;114.98
Kabupaten Sumenep;2023;112.86;113.87;118.19;120.82
Kabupaten Sumenep;2024;109.15;108.48;108.58;109.71
Kota Probolinggo;2022;107.44;109.92;110.85;112.18
Kota Probolinggo;2023;113.32;113.74;114.38;115.39
Kota Probolinggo;2024;106.64;106.39;106.41;107.18
Kota Madiun;2022;107.77;110.16;111.79;112.61
Kota Madiun;2023;116.46;117.25;114.20;115.26
Kota Madiun;2024;106.12;105.28;105.03;106.00
Kabupaten Banyuwangi;2022;106.93;109.25;110.33;112.09
Kabupaten Banyuwangi;2023;113.04;113.59;113.75;114.50
Kabupaten Banyuwangi;2024;106.61;106.61;106.46;107.32
