Kabupaten/Kota;Jumlah Penduduk (Ribu);Laju Pertumbuhan Penduduk per Tahun;Persentase Penduduk;Kepadatan Penduduk per km persegi (Km2);Rasio Jenis Kelamin Penduduk
Kabupaten Pacitan;589.1;0.68;1.44;424;100.4
Kabupaten Ponorogo;955.8;0.92;2.34;732;99.8
Kabupaten Trenggalek;734.9;0.69;1.8;641;101
Kabupaten Tulungagung;1096.6;0.83;2.68;1039;100.1
Kabupaten Blitar;1231;0.79;3.01;921;101.5
Kabupaten Kediri;1644.4;0.74;4.02;1186;102
Kabupaten Malang;2668.3;0.7;6.53;756;101.6
Kabupaten Lumajang;1127.1;0.94;2.76;629;97.8
Kabupaten Jember;2550.4;0.72;6.24;825;99.4
Kabupaten Banyuwangi;1718.5;0.81;4.2;297;100.2
Kabupaten Bondowoso;778.5;0.41;1.9;510;97
Kabupaten Situbondo;688.3;0.46;1.68;412;96.4
Kabupaten Probolinggo;1155.9;0.39;2.83;681;97.4
Kabupaten Pasuruan;1611.8;0.48;3.94;1093;100.1
Kabupaten Sidoarjo;2091.9;0.58;5.12;3298;101.4
Kabupaten Mojokerto;1125.5;0.75;2.75;1568;101.2
Kabupaten Jombang;1325.9;0.8;3.24;1189;101.7
Kabupaten Nganjuk;1109.7;0.7;2.71;906;101.2
Kabupaten Madiun;750.1;1.04;1.84;723;98.2
Kabupaten Magetan;674.1;0.66;1.65;979;96.8
Kabupaten Ngawi;873.3;0.5;2.14;674;98.6
Kabupaten Bojonegoro;1307.6;0.61;3.2;595;100.8
Kabupaten Tuban;1203.1;0.57;2.94;656;99.7
Kabupaten Lamongan;1356;1.18;3.32;761;100.1
Kabupaten Gresik;1320.6;0.95;3.23;1109;101.4
Kabupaten Bangkalan;1071.7;1.43;2.62;1070;97.2
Kabupaten Sampang;976;0.87;2.39;792;98.7
Kabupaten Pamekasan;853.5;0.54;2.09;1077;96.2
Kabupaten Sumenep;1129.8;0.64;2.76;565;93.3
Kota Kediri;288;0.54;0.7;4542;100.3
Kota Blitar;150.4;1.09;0.37;4617;99
Kota Malang;844.9;0.18;2.07;5816;99
Kota Probolinggo;241.2;0.86;0.59;4256;98.3
Kota Pasuruan;209.5;0.98;0.51;5937;100
Kota Mojokerto;133.3;0.84;0.33;6594;98.4
Kota Madiun;196.9;1.19;0.48;5805;95.7
Kota Surabaya;2880.3;0.28;7.05;8217;98.3
Kota Batu;214.7;1.01;0.53;1570;101.4
