Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kabupaten Pacitan,2022,I,2.38,Kota Madiun
Kabupaten Pacitan,2022,II,4.76,Kota Madiun
Kabupaten Pacitan,2022,III,6.14,Kota Madiun
Kabupaten Pacitan,2022,IV,5.8,Kota Madiun
Kabupaten Pacitan,2023,I,5.15,Kota Madiun
Kabupaten Pacitan,2023,II,3.25,Kota Madiun
Kabupaten Pacitan,2023,III,2.16,Kota Madiun
Kabupaten Pacitan,2023,IV,2.35,Kota Madiun
Kabupaten Pacitan,2024,I,3.05,Kota Madiun
Kabupaten Pacitan,2024,II,1.85,Kota Madiun
Kabupaten Pacitan,2024,III,1.22,Kota Madiun
Kabupaten Pacitan,2024,IV,1.31,Kota Madiun
Kabupaten Pacitan,2025,I,0.2,Kota Madiun
Kabupaten Ponorogo,2022,I,2.38,Kota Madiun
Kabupaten Ponorogo,2022,II,4.76,Kota Madiun
Kabupaten Ponorogo,2022,III,6.14,Kota Madiun
Kabupaten Ponorogo,2022,IV,5.8,Kota Madiun
Kabupaten Ponorogo,2023,I,5.15,Kota Madiun
Kabupaten Ponorogo,2023,II,3.25,Kota Madiun
Kabupaten Ponorogo,2023,III,2.16,Kota Madiun
Kabupaten Ponorogo,2023,IV,2.35,Kota Madiun
Kabupaten Ponorogo,2024,I,3.05,Kota Madiun
Kabupaten Ponorogo,2024,II,1.85,Kota Madiun
Kabupaten Ponorogo,2024,III,1.22,Kota Madiun
Kabupaten Ponorogo,2024,IV,1.31,Kota Madiun
Kabupaten Ponorogo,2025,I,0.2,Kota Madiun
Kabupaten Trenggalek,2022,I,2.33,Kota Kediri
Kabupaten Trenggalek,2022,II,4.03,Kota Kediri
Kabupaten Trenggalek,2022,III,6.29,Kota Kediri
Kabupaten Trenggalek,2022,IV,5.76,Kota Kediri
Kabupaten Trenggalek,2023,I,5.36,Kota Kediri
Kabupaten Trenggalek,2023,II,3.92,Kota Kediri
Kabupaten Trenggalek,2023,III,2.55,Kota Kediri
Kabupaten Trenggalek,2023,IV,2.64,Kota Kediri
Kabupaten Trenggalek,2024,I,2.88,Kota Kediri
Kabupaten Trenggalek,2024,II,1.72,Kota Kediri
Kabupaten Trenggalek,2024,III,0.88,Kota Kediri
Kabupaten Trenggalek,2024,IV,1.19,Kota Kediri
Kabupaten Trenggalek,2025,I,-0.04,Kota Kediri
Kabupaten Tulungagung,2022,I,2.33,Kota Kediri
Kabupaten Tulungagung,2022,II,4.03,Kota Kediri
Kabupaten Tulungagung,2022,III,6.29,Kota Kediri
Kabupaten Tulungagung,2022,IV,5.76,Kota Kediri
Kabupaten Tulungagung,2023,I,5.36,Kota Kediri
Kabupaten Tulungagung,2023,II,3.92,Kota Kediri
Kabupaten Tulungagung,2023,III,2.55,Kota Kediri
Kabupaten Tulungagung,2023,IV,2.64,Kota Kediri
Kabupaten Tulungagung,2024,I,2.88,Kota Kediri
Kabupaten Tulungagung,2024,II,1.72,Kota Kediri
Kabupaten Tulungagung,2024,III,0.88,Kota Kediri
Kabupaten Tulungagung,2024,IV,1.19,Kota Kediri
Kabupaten Tulungagung,2025,I,-0.04,Kota Kediri
Kabupaten Blitar,2022,I,2.33,Kota Kediri
Kabupaten Blitar,2022,II,4.03,Kota Kediri
Kabupaten Blitar,2022,III,6.29,Kota Kediri
Kabupaten Blitar,2022,IV,5.76,Kota Kediri
Kabupaten Blitar,2023,I,5.36,Kota Kediri
Kabupaten Blitar,2023,II,3.92,Kota Kediri
Kabupaten Blitar,2023,III,2.55,Kota Kediri
Kabupaten Blitar,2023,IV,2.64,Kota Kediri
Kabupaten Blitar,2024,I,2.88,Kota Kediri
Kabupaten Blitar,2024,II,1.72,Kota Kediri
Kabupaten Blitar,2024,III,0.88,Kota Kediri
Kabupaten Blitar,2024,IV,1.19,Kota Kediri
Kabupaten Blitar,2025,I,-0.04,Kota Kediri
Kabupaten Kediri,2022,I,2.33,Kota Kediri
Kabupaten Kediri,2022,II,4.03,Kota Kediri
Kabupaten Kediri,2022,III,6.29,Kota Kediri
Kabupaten Kediri,2022,IV,5.76,Kota Kediri
Kabupaten Kediri,2023,I,5.36,Kota Kediri
Kabupaten Kediri,2023,II,3.92,Kota Kediri
Kabupaten Kediri,2023,III,2.55,Kota Kediri
Kabupaten Kediri,2023,IV,2.64,Kota Kediri
Kabupaten Kediri,2024,I,2.88,Kota Kediri
Kabupaten Kediri,2024,II,1.72,Kota Kediri
Kabupaten Kediri,2024,III,0.88,Kota Kediri
Kabupaten Kediri,2024,IV,1.19,Kota Kediri
Kabupaten Kediri,2025,I,-0.04,Kota Kediri
Kabupaten Malang,2022,I,2.62,Kota Malang
Kabupaten Malang,2022,II,4.95,Kota Malang
Kabupaten Malang,2022,III,6.24,Kota Malang
Kabupaten Malang,2022,IV,5.95,Kota Malang
Kabupaten Malang,2023,I,5.39,Kota Malang
Kabupaten Malang,2023,II,3.62,Kota Malang
Kabupaten Malang,2023,III,2.725,Kota Malang
Kabupaten Malang,2023,IV,2.71,Kota Malang
Kabupaten Malang,2024,I,3.22,Kota Malang
Kabupaten Malang,2024,II,2.155,Kota Malang
Kabupaten Malang,2024,III,1.795,Kota Malang
Kabupaten Malang,2024,IV,1.63,Kota Malang
Kabupaten Malang,2025,I,0.81,Kota Malang
Kabupaten Lumajang,2022,I,2.87,Kabupaten Jember
Kabupaten Lumajang,2022,II,5.53,Kabupaten Jember
Kabupaten Lumajang,2022,III,7.3,Kabupaten Jember
Kabupaten Lumajang,2022,IV,7.39,Kabupaten Jember
Kabupaten Lumajang,2023,I,6.48,Kabupaten Jember
Kabupaten Lumajang,2023,II,4.31,Kabupaten Jember
Kabupaten Lumajang,2023,III,3.05,Kabupaten Jember
Kabupaten Lumajang,2023,IV,2.29,Kabupaten Jember
Kabupaten Lumajang,2024,I,2.53,Kabupaten Jember
Kabupaten Lumajang,2024,II,1.99,Kabupaten Jember
Kabupaten Lumajang,2024,III,1.56,Kabupaten Jember
Kabupaten Lumajang,2024,IV,1.74,Kabupaten Jember
Kabupaten Lumajang,2025,I,1.14,Kabupaten Jember
Kabupaten Jember,2022,I,2.87,Kabupaten Jember
Kabupaten Jember,2022,II,5.53,Kabupaten Jember
Kabupaten Jember,2022,III,7.3,Kabupaten Jember
Kabupaten Jember,2022,IV,7.39,Kabupaten Jember
Kabupaten Jember,2023,I,6.48,Kabupaten Jember
Kabupaten Jember,2023,II,4.31,Kabupaten Jember
Kabupaten Jember,2023,III,3.05,Kabupaten Jember
Kabupaten Jember,2023,IV,2.29,Kabupaten Jember
Kabupaten Jember,2024,I,2.53,Kabupaten Jember
Kabupaten Jember,2024,II,1.99,Kabupaten Jember
Kabupaten Jember,2024,III,1.56,Kabupaten Jember
Kabupaten Jember,2024,IV,1.74,Kabupaten Jember
Kabupaten Jember,2025,I,1.14,Kabupaten Jember
Kabupaten Banyuwangi,2022,I,2.19,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2022,II,4.42,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2022,III,5.46,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2022,IV,6.06,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2023,I,5.71,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2023,II,3.97,Kabupaten Banyuwangi
