Region,Year,Quarter,Inflation_YOY



JAWA TIMUR,2022,I,3.04
JAWA TIMUR,2022,II,4.92
JAWA TIMUR,2022,III,6.80
JAWA TIMUR,2022,IV,6.52
JAWA TIMUR,2023,I,6.13
JAWA TIMUR,2023,II,4.59
JAWA TIMUR,2023,III,3.01
JAWA TIMUR,2023,IV,2.92
JAWA TIMUR,2024,I,3.04
JAWA TIMUR,2024,II,2.21
JAWA TIMUR,2024,III,1.74
JAWA TIMUR,2024,IV,1.51
JAWA TIMUR,2025,I,0.77



Kota Surabaya,2022,I,3.16
Kota Surabaya,2022,II,4.88
Kota Surabaya,2022,III,6.91
Kota Surabaya,2022,IV,8.59
Kota Surabaya,2023,I,6.30
Kota Surabaya,2023,II,4.91
Kota Surabaya,2023,III,3.14
Kota Surabaya,2023,IV,3.03
Kota Surabaya,2024,I,2.99
Kota Surabaya,2024,II,2.35
Kota Surabaya,2024,III,1.65
Kota Surabaya,2024,IV,1.28
Kota Surabaya,2025,I,0.63



Kota Malang,2022,I,2.98
Kota Malang,2022,II,5.30
Kota Malang,2022,III,7.08
Kota Malang,2022,IV,8.45
Kota Malang,2023,I,5.74
Kota Malang,2023,II,3.65
Kota Malang,2023,III,2.27
Kota Malang,2023,IV,2.56
Kota Malang,2024,I,2.90
Kota Malang,2024,II,2.02
Kota Malang,2024,III,1.62
Kota Malang,2024,IV,1.36
Kota Malang,2025,I,0.49



Kota Kediri,2022,I,2.33
Kota Kediri,2022,II,4.03
Kota Kediri,2022,III,6.29
Kota Kediri,2022,IV,5.76
Kota Kediri,2023,I,5.36
Kota Kediri,2023,II,3.92
Kota Kediri,2023,III,2.55
Kota Kediri,2023,IV,2.64
Kota Kediri,2024,I,2.88
Kota Kediri,2024,II,1.72
Kota Kediri,2024,III,0.88
Kota Kediri,2024,IV,1.19
Kota Kediri,2025,I,0.04



Kab. Jember,2022,I,2.87
Kab. Jember,2022,II,5.53
Kab. Jember,2022,III,7.30
Kab. Jember,2022,IV,7.35
Kab. Jember,2023,I,6.48
Kab. Jember,2023,II,4.31
Kab. Jember,2023,III,3.05
Kab. Jember,2023,IV,2.29
Kab. Jember,2024,I,2.53
Kab. Jember,2024,II,1.99
Kab. Jember,2024,III,1.66
Kab. Jember,2024,IV,1.57
Kab. Jember,2025,I,1.14



Kab. Sumenep,2022,I,3.57
Kab. Sumenep,2022,II,5.79
Kab. Sumenep,2022,III,6.54
Kab. Sumenep,2022,IV,6.32
Kab. Sumenep,2023,I,6.43
Kab. Sumenep,2023,II,4.53
Kab. Sumenep,2023,III,4.47
Kab. Sumenep,2023,IV,5.08
Kab. Sumenep,2024,I,4.68
Kab. Sumenep,2024,II,3.92
Kab. Sumenep,2024,III,2.79
Kab. Sumenep,2024,IV,1.97
Kab. Sumenep,2025,I,1.33



Kota Probolinggo,2022,I,2.26
Kota Probolinggo,2022,II,4.60
Kota Probolinggo,2022,III,5.40
Kota Probolinggo,2022,IV,5.45
Kota Probolinggo,2023,I,5.04
Kota Probolinggo,2023,II,3.59
Kota Probolinggo,2023,III,3.18
Kota Probolinggo,2023,IV,2.86
Kota Probolinggo,2024,I,3.54
Kota Probolinggo,2024,II,2.29
Kota Probolinggo,2024,III,1.97
Kota Probolinggo,2024,IV,1.90
Kota Probolinggo,2025,I,1.13



Kota Madiun,2022,I,2.38
Kota Madiun,2022,II,4.78
Kota Madiun,2022,III,6.14
Kota Madiun,2022,IV,5.80
Kota Madiun,2023,I,5.15
Kota Madiun,2023,II,3.25
Kota Madiun,2023,III,2.16
Kota Madiun,2023,IV,2.35
Kota Madiun,2024,I,3.05
Kota Madiun,2024,II,1.85
Kota Madiun,2024,III,1.22
Kota Madiun,2024,IV,1.31
Kota Madiun,2025,I,0.20


