Kabupaten/Kota,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan
Kabupaten Pacitan,,43.55
Kabupaten Ponorogo,,50.11
Kabupaten Trenggalek,,48.3
Kabupaten Tulungagung,,47.94
Kabupaten Blitar,,50
Kabupaten Kediri,,43.79
Kabupaten Malang,,45.64
Kabupaten Lumajang,,42.63
Kabupaten Jember,,45.08
Kabupaten Banyuwangi,,47.63
Kabupaten Bondowoso,,42.63
Kabupaten Situbondo,,48.17
Kabupaten Probolinggo,,43.81
Kabupaten Pasuruan,,44.48
Kabupaten Sidoarjo,,54.99
Kabupaten Mojokerto,,48.47
Kabupaten Jombang,,44.51
Kabupaten Nganjuk,,45.15
Kabupaten Madiun,,45.75
Kabupaten Magetan,,49.8
Kabupaten Ngawi,,41.94
Kabupaten Bojonegoro,,46.37
Kabupaten Tuban,,46.51
Kabupaten Lamongan,,46.43
Kabupaten Gresik,,50.98
Kabupaten Bangkalan,,36.48
Kabupaten Sampang,,38.86
Kabupaten Pamekasan,,41.7
Kabupaten Sumenep,,41.38
Kota Kediri,47.22,52.78
Kota Blitar,47.4,52.6
Kota Malang,37.79,62.21
Kota Probolinggo,41.11,58.89
Kota Pasuruan,51.52,48.48
Kota Mojokerto,45.12,54.88
Kota Madiun,41.67,58.33
Kota Surabaya,40.79,59.21
Kota Batu,44.23,55.77
Jawa Timur,50.79,49.21
